No,Ulasan,Ulasan_Preprocessed,Sentiment_Asli,Sentiment(Linear),Sentiment(RBF)
2984,"saya mau perpanjang kok tidak bisa ya menambahkan kendaraan, pdahal sebelumnya bisa dan berhasil",panjang ya kendara hasil,negatif,positif,negatif
2985,"Terima Kasih Signal, aplikasi yg sangat membantu dan mempermudah perpanjangan STNK.",terima kasih signal aplikasi bantu mudah panjang stnk,positif,positif,positif
2986,Mempermudah.. Terima kasih Polri.,mudah terima kasih polri,positif,positif,positif
2987,"Terima kasih, sangat bermanfaat aplikasi ini buat saya",terima kasih manfaat aplikasi,positif,positif,positif
2988,mantappp pelayanan cepat,mantap layan cepat,positif,positif,positif
2989,lebih mudah gx ribet bayar pajek tinggal duduk manis,mudah ribet bayar pajek tinggal duduk manis,positif,positif,positif
2990,"sangat membantu , jadi gak perlu repot repot datang ke kantor samsat buat bayar pajak",bantu repot repot kantor samsat bayar pajak,positif,positif,positif
2991,Aplikasi mudah di pakai dan cepat,aplikasi mudah pakai cepat,positif,positif,positif
2992,pelayanan cepat dan langsung diantar .. terimakasih ..,layan cepat langsung antar terimakasih,positif,positif,positif
2993,cukup membantu pengurusan perpanjangan stnk jadi gak perlu cuti mantab,bantu urus panjang stnk cuti mantab,positif,positif,positif
2994,alhamdullilah sejak ada aplikasi signal sangat mempermudah pembayaran pajak motor untuk sy ibu rumah tangga yg memiliki toddler tidak perlu antri dan tidak perlu repot untuk ke samsat tinggal menunggu drrumah STNK terbaru datang dengan pembayaran pajak online ini,alhamdullilah aplikasi signal mudah bayar pajak motor rumah tangga milik toddler antri repot samsat tinggal tunggu drrumah stnk baru bayar pajak online,positif,positif,positif
2995,Eror sampai 7x padahal cuma mau mendaftarkan kendaraan,eror kali daftar kendara,negatif,negatif,negatif
2996,Sangat berguna terutama yang kendaraannya masih nyicil (jadi ga perlu pinjam BPKB di lising)😀,guna kendara nyicil pinjam bpkb lising,positif,positif,positif
2997,"mantap, gak usah capek2 antri",mantap capek antri,positif,positif,positif
2998,"kalau pembayaran pajak bisa online terus ganpang cara pembayarannya, lebih enak ngak mesti ke samsat jadi praktis. Intinya jangan di persulit pak🙏",bayar pajak online ganpang bayar enak mesti samsat praktis inti sulit,positif,positif,positif
2999,aplikasi ini sangat membantu yg sedang sibuk kerja 👌,aplikasi bantu sibuk kerja,positif,positif,positif
3000,"Untuk aplikasi nya sih oke & mantap jadi saya lebih tenang, ga mesti nyari waktu untuk izin kerja buat perpanjang stnk, tapi saya sempet kecewa waktu itu sama pengantaran nya, lantaran saya pilih pengiriman yang dokumen express khusus berharap datang lebih cepat, tapi kenyataan nya dokumen saya datang nya lebih lama daripada yg dokumen kilat khusus. Tolong di perbaiki lagi dari segi pengiriman nya. Terimakasih.",aplikasi ya sih oke mantap tenang mesti cari izin kerja panjang stnk kecewa antar ya lantar pilih kirim dokumen express khusus harap cepat nyata ya dokumen ya dokumen kilat khusus tolong baik segi kirim ya terimakasih,positif,positif,positif
3001,"the best bingitzzz pertahankan terus signal, sangat membantu sekali system online zaman skrng bagi pekerja,krn tdk pny wkt buat urusnya, semoga yg lainnya jg mengikuti dan aplikasi nya jg makin dipermudah terima kasih",the best bingitzzz tahan signal bantu system online zaman pekerjakrn urus moga ikut aplikasi ya mudah terima kasih,positif,positif,positif
3002,Mudah Cepat tak Perlu antri....mantap,mudah cepat antrimantap,positif,positif,positif
3003,Aplikasinya sangat membantu dan memudahkan. Caranya sangat simpel tidak perlu capek antri di loket. stnk di kirim ke rumah.,aplikasi bantu mudah simpel capek antri loket stnk kirim rumah,positif,positif,positif
3004,best,best,positif,positif,positif
3005,terbantu dalam pengurusan pajak,bantu urus pajak,positif,positif,positif
3006,"Alhamdulillah.. sangat terbantu dgn apl Signal, semua jd cepat, hemat waktu dan biaya. Bisa diantar juga ke rmh. Sukses selalu. 👍",alhamdulillah bantu apl signal cepat hemat biaya antar rumah sukses,positif,positif,positif
3007,"aplikasi yang sangat memudahkan, cepat dan transparan",aplikasi mudah cepat transparan,positif,positif,positif
3008,perpanjangan STNK lebih mudah dan bisa kapan saja,panjang stnk mudah,positif,positif,positif
3009,bagus bgt buat yg posisinya merantau.. trus pertahankan ya pakpol... 👍👍👍,bagus banget posisi rantau tahan ya pakpol,positif,positif,positif
3010,"ini baru aplikasi yang bagus mempermudah orang membayar pajak, untuk kedepannya mohon dipercepat pengiriman STNK asli dari 7 hari kerja diluar sabtu minggu. Terima kasih",aplikasi bagus mudah orang bayar pajak depan mohon cepat kirim stnk asli kerja luar sabtu minggu terima kasih,positif,positif,positif
3011,luar biasa bahkan untuk sekedar daftar aja masih di persulit verifikasi wajah.. ga jadi download dah,dar daftar sulit verifikasi wajah download,negatif,negatif,negatif
3012,ke 4x ny dan salalu sampai,kali nya salalu,positif,positif,positif
3013,"mantap , menghemat waktu, tenaga dan biaya .",mantap hemat tenaga biaya,positif,positif,positif
3014,"Alhamdulillah sudah bisa bayar pajak jarak jauh dan d kirim sengan selamat sampai rumah,, semoga yg 5 tahunan jga suatu saat bisa online",alhamdulillah bayar pajak jarak kirim seng selamat rumah moga tahun online,positif,positif,positif
3015,sangat mudah dan cepat,mudah cepat,positif,positif,positif
3016,sangat bermanfaat cepat dan tanggap,manfaat cepat tanggap,positif,positif,positif
3017,ok mantul mantap betul🙏🙏🙏🙏,ok mantul mantap,positif,positif,positif
3018,work,work,positif,positif,positif
3019,sangat membantu.trima kasih.,membantutrima kasih,positif,positif,positif
3020,"Praktis, cepat & tepat. Pelayanan yang memudahkan pemilik kendaraan bermotor untuk bayar PKB secara online. TBPKP dikirim sampai dirumah. Mohon ditingkatkan semua pelayanan masyarakat.",praktis cepat layan mudah milik kendara motor bayar pkb online tbpkp kirim rumah mohon tingkat layan masyarakat,positif,positif,positif
3021,mantap dah pokoknya,mantap pokok,positif,positif,positif
3022,"- penggunaan aplikasi sangat mudah - tahap² pembayaran mudah dimengerti. - opsi pembayaran banyak, sangat mempermudah - bisa diantar kealamat sesuai domisili, dan cepat sampai",guna aplikasi mudah tahap bayar mudah erti opsi bayar mudah antar alamat sesuai domisili cepat,positif,positif,positif
3023,"Alhamdulillah, ada yang mudah kenapa gak dicoba, next perpanjang sim",alhamdulillah mudah coba next panjang sim,positif,positif,positif
3024,"Sudha effort daftar, gabisa dipake. pengesahan stnk aja harus ke samsat. terus apa gunanya online. Kalau ujung2 nya ke samsat.",sudha effort daftar pakai kesah stnk samsat guna online ujung ya samsat,negatif,negatif,negatif
3025,"Sambil kerja bisa bayar pajak, Jadi semakin mudah 👍🙏",kerja bayar pajak mudah,positif,positif,positif
3026,"good job, semua tidak ribet dan lancar cuma terkendala di pengantaran dari pihak pos Indonesia, mereka tidak tepat waktu dan kita tidak bisa menghubunginya.",good job ribet lancar kendala antar pos indonesia hubung,positif,positif,positif
3027,"mau tanya min,kalo asli beda dengan domisili saat ini bagimana,,misal alamat Kedoya tapi saat ini domisili dipesing,,itu apa ada option alamat pengirimannya?",minkalo asli beda domisili bagimanamisal alamat kedoya domisili dipesingitu option alamat kirim,positif,positif,positif
3028,sangat membantu trima ksh signal trima kash polri,bantu terima kasih signal terima kash polri,positif,positif,positif
3029,Oke keren. bisa lebih cepat,oke keren cepat,positif,positif,positif
3030,"Lebih efesien ,hemat waktu,hemat biaya lebih cepat ,ga perlu antri",efesien hemat waktuhemat biaya cepat antri,positif,positif,positif
3031,"SANGAT AMAT MEMBANTU, TERBAIK APLIKASI SIGNAL SAMSAT",bantu baik aplikasi signal samsat,positif,positif,positif
3032,"TNKB sudah saya terima,terimakasih",tnkb terimaterimakasih,positif,positif,positif
3033,"alahamdulillah terpercaya, lewat pos kirim kerumah durasi 3 hr,yg biasa. trimakasih SIGNAL. gak ngantri gak ribet tinggal tunggu manis dirumah",alahamdulillah percaya pos kirim rumah durasi hryg trimakasih signal antri ribet tinggal tunggu manis rumah,positif,positif,positif
3034,kenapa saya mau bayar pajak lewat signal ko msh kena denda ya kata y area DKI Jakarta lg pemutihan sampai akhir desember 2025. mohon penjelasan y min🙏,bayar pajak signal kena denda ya ya area dki jakarta mutih desember mohon jelas ya min,positif,positif,positif
3035,"aplikasi kocak, daftarin stnk a/n diri sendiri atau keluarga gagal terus",aplikasi kocak daftarin stnk an keluarga gagal,negatif,negatif,negatif
3036,gak ribet,ribet,positif,positif,positif
3037,"Mantap. Penggunaan simple dan cepat. Akan tetapi mengapa saya tetap dihubungi oleh bagian pajak karena telat bayar? Saya memang telat beberapa minggu, tetapi dihubungi tim malah beberapa hari setelah pajak dibayarkan.",mantap guna simple cepat hubung pajak telat bayar telat minggu hubung tim pajak bayar,positif,positif,positif
3038,top,top,positif,positif,positif
3039,T.O.P,top,positif,positif,positif
3040,"bagus, tp dr pos Indonesia nya yg agak lambat",bagus pos indonesia ya lambat,positif,positif,positif
3041,sangat2 membatu dan cepat selesainya👍,batu cepat selesai,positif,positif,positif
3042,"sangat membantu dalam proses perpanjangan pajak, jadi lebih mudah",bantu proses panjang pajak mudah,positif,positif,positif
3043,"baru pertama bayar pajak kendaraan online, bagus & memudahkan, jd ga perlu ngantri di samsat",bayar pajak kendara online bagus mudah antri samsat,positif,positif,positif
3044,"mantap, jadi tidak ribet antri di Samsat..",mantap ribet antri samsat,positif,positif,positif
3045,"aplikasi ini sangat membantu mempermudah untuk bayar pajak tahunan kendaraan, tidak perlu repot² ngantri di samsat. prosesnya pun tidak terlalu lama, dari proses registrasi sampai dokumen di terima hanya butuh waktu 4 hari saja",aplikasi bantu mudah bayar pajak tahun kendara repot antri samsat proses proses registrasi dokumen terima butuh,positif,positif,positif
3046,Gercep sih 3 hari kerja sampe kirain 12 hari kerja,gercep sih kerja kerja,positif,positif,positif
3047,urus urusnya gampang perpanjang pajak nya gk harus ke kantor siip mantap,urus urus gampang panjang pajak ya kantor sip mantap,positif,positif,positif
3048,sangat memudahkan tidak perlu repot repot ke samsatt best banget pokonya tinggal duduk manis nunggu dirumah,mudah repot repot samsatt best banget pokok tinggal duduk manis tunggu rumah,positif,positif,positif
3049,"mantap...prosesnya cepat,3 bulan sebelum jatuh tempo sudah bisa dibayar...",mantapprosesnya cepat jatuh tempo bayar,positif,positif,positif
3050,"Sangat amanah, proses dan pengiriman cepat",amanah proses kirim cepat,positif,positif,positif
3051,akhirnya ada aplikasi signal yg memudahkan utk pembayaran pajak tahunan semoga ke depannya bisa untuk yg 5th heheh,aplikasi signal mudah bayar pajak tahun moga depan heheh,positif,positif,positif
3052,baik dan mempermudah pekerjaan,mudah kerja,positif,positif,positif
3053,"guna nya sangat minim, harusnya dengan adanya aplikasi e Samsat ini bisa backup segala aktifitas yang memungkinkan dilakukan online, contohnya blokir kendaraan yang sudah dijual harusnya bisa melalui aplikasi ini.",ya minim aplikasi e samsat backup aktifitas online contoh blokir kendara jual aplikasi,negatif,negatif,negatif
3054,Top...sangat membantu,topsangat bantu,positif,positif,positif
3055,"prosesnya lama tidak seperti SAKPOLE, Ada perkembangan lebih baik bintang saya rubah",proses sakpole kembang bintang rubah,negatif,positif,positif
3056,"mudah ,tidak cape dateng antri,mantap",mudah capek antrimantap,positif,positif,positif
3057,"jujur pertama kali mudah caranya, ga ngantri , pengiriman dn proses nya cepet good lahh",jujur kali mudah antri kirim proses ya cepat good,positif,positif,positif
3058,"sudah 4 bulan STNK saya belum dikirim"", padahal semua sudah lunas dan sudah bayar ongkirnya. aplikasi tidak berguna",stnk kirim lunas bayar ongkirnya aplikasi guna,negatif,negatif,negatif
3059,oke mantap simple ga perlu antri,oke mantap simple antri,positif,positif,positif
3060,mantabz,mantabz,positif,positif,positif
3061,mntapp bagus ga cape² hrs ke samsat hehe,mntapp bagus capek samsat hehe,positif,positif,positif
3062,"mantap nih aplikasi,bisa bayar pajak lewat online jadi mudah dan praktis",mantap nih aplikasibisa bayar pajak online mudah praktis,positif,positif,positif
3063,Mudah dan praktis,mudah praktis,positif,positif,positif
3064,alhamdulillaah lebih mudah bayar pajak,alhamdulillaah mudah bayar pajak,negatif,positif,positif
3065,Tepat Waktu,nan,positif,positif,positif
3066,sangat membantu. tidak perlu ke luar rumah. 5 hari kerja sudah sampai dirumah stnknya. mantap,bantu rumah kerja rumah stnknya mantap,positif,positif,positif
3067,apakah diaplikasi signal bisa bayar pajak motor atas nama orang lain. sedangkan motor di kota . yang punya atas nama motor di kampung,aplikasi signal bayar pajak motor nama orang motor kota nama motor kampung,positif,positif,positif
3068,"dengan adanya aplikasi signal,,, semua teras transparan,,,, terus di tingkatkan,,, karena masih lama di proses pengiriman",aplikasi signal teras transparan tingkat proses kirim,positif,positif,positif
3069,"aplikasi pemerintah gak ada yg bener, lacak pengiriman pos gk bisa, gak muncul",aplikasi perintah lacak kirim pos muncul,negatif,negatif,negatif
3070,pelayanan lambat sekali,layan lambat,negatif,negatif,negatif
3071,sangat amat membantu.. tidk perlu lagi pulng kampung untuk bayar pajak,bantu tidk pulng kampung bayar pajak,positif,positif,positif
3072,jangan ragu bayar pajak di sini,ragu bayar pajak,positif,positif,positif
3073,"pertama kali perpanjang stnk lewat onlie, mudah dan efesien waktu mantaapppp",kali panjang stnk onlie mudah efesien mantaapppp,positif,positif,positif
3074,memudahkan masyarakat yg waktunya sedikit sip,mudah masyarakat sip,positif,positif,positif
3075,sepakat dengan adanya ini. Kami yg bekerja dan yg off hanya di hari minggu ttp bisa bayar pajak tanpa harus kekantor panjak.,sepakat off minggu bayar pajak kantor panjak,positif,positif,positif
3076,alhamdulillah amanah..,alhamdulillah amanah,positif,positif,positif
3077,"tidak terlalu buruk, awal nyoba bayar kmrn tanggal 3 kendala di pembayaran, ga bisa kalau lewat mbanking, dialihkan lewat e-wallet yang mendukung langsung bisa, pelayanan cs melalui email juga fastrespon beda dari LC aplikasi. Estimasi pengiriman dr pengesahan hitungannya kaya pengiriman reguler ya walaupun pilih yang express, 3-4 hari.. mungkin next time bisa diperbaiki..",buruk coba bayar kemarin tanggal kendala bayar mbanking alih ewallet dukung langsung layan cs email fastrespon beda lc aplikasi estimasi kirim kesah hitung kayak kirim reguler ya pilih express next time baik,positif,negatif,positif
3078,mantap cepat memudahkan 👍👍,mantap cepat mudah,positif,positif,positif
3079,sangat baik,nan,positif,positif,positif
3080,simple dan cepat mantap,simple cepat mantap,positif,positif,positif
3081,sangat mudah dan simpel,mudah simpel,positif,positif,positif
3082,"Signal bagus, hanya saja untuk pengirimannya kurang cepat. 👌",signal bagus kirim cepat,positif,positif,positif
3083,proses nya cepet dan gak ribet. sangat bermanfaat aplikasi ini untuk yg KTP dan tmp tinggal nya berbeda.,proses ya cepat ribet manfaat aplikasi ktp tmp tinggal ya beda,positif,positif,positif
3084,"untuk yang tidak sempat atau tidak ada waktu untuk perpanjang registrasi STNK atau bayar pajak kenderaan bisa melalui aplikasi signal ini,cuma ongkirnya plus admin terlalu mahal dan durasi pengiriman sampai 7 hari,tolong agar bisa lebih ditingkatkan lagi",panjang registrasi stnk bayar pajak kenderaan aplikasi signal inicuma ongkirnya plus admin mahal durasi kirim haritolong tingkat,positif,positif,positif
3085,12 hari baru sampe rumah itupun 3 hari sebelumnya saya komplen ke samsat via wa. tolong kedepannya lebih diperhatikan lagi. terimakasih.,rumah itu komplen samsat via wa tolong depan perhati terimakasih,negatif,negatif,negatif
3086,menurut saya terlalu mahal biayanya,mahal biaya,positif,positif,positif
3087,"biaya Layanan dan Bank terlalu Mahal, sekelas Inaproc saja gak sebesar itu.",biaya layan bank mahal kelas inaproc,negatif,positif,negatif
3088,cukup membantu.,bantu,positif,positif,positif
3089,baru pertama pajak online terhitung dari tgl 5/11/2025 di tunggu bapak2,pajak online hitung tanggal tunggu,positif,positif,positif
3090,Selamat soreh sangat bagus aplikasi ini sangt mudah 👍👍👍👍👍👍👍👍👍💯💯💯💯💯💯,selamat soreh bagus aplikasi mudah,positif,positif,positif
3091,"keren bgt, br pertama kali pakai aplikasi ini, cepet bgt prosesny ga ribet juga Alhamdulillah udh selesai. terimakasih",keren banget kali pakai aplikasi cepat banget prosesny ribet alhamdulillah selesai terimakasih,positif,positif,positif
3092,"bagus sangat membantu, tp kadang masih sering eror, semoga kedepan nya tambah lebih baik dan lebih lancar",bagus bantu kadang eror moga depan ya lancar,positif,positif,positif
3093,apk nya bagus memudahkan bagi semua orang,apk ya bagus mudah orang,positif,positif,positif
3094,"Proses Mudah, Cepat dan Hemat",proses mudah cepat hemat,positif,positif,positif
3095,sangat simpel dlm bayar pajak kendaraan,simpel bayar pajak kendara,positif,positif,positif
3096,saya baru gunakan perpanjang via aplikasi signal sangat memudahkan apalagi dgn posisi saya yg saat ini sudah diluar pulau sumatara,panjang via aplikasi signal mudah posisi luar pulau sumatara,positif,positif,positif
3097,Proses mudah dan Sangat Membantu,proses mudah bantu,positif,positif,positif
3098,"sangat Membantu sekali, tapi sayang tidak dapat plastik nya. SARAN : di dalam Amplop Pengiriman E-TBPKP kalau bisa di kasih Plastik untuk simpan STNK dan E-TBPKP.",bantu sayang plastik ya saran amplop kirim etbpkp kasih plastik simpan stnk etbpkp,positif,positif,positif
3099,"Aplikasinya bagus, sangat membantu dan rekomendasi.",aplikasi bagus bantu rekomendasi,positif,positif,positif
3100,"Baru pertama kali dan buat yang gak bisa datang langsung coba deh pake aplikasi signal ini, sangat membantu",kali langsung coba deh pakai aplikasi signal bantu,positif,positif,positif
3101,"Ndak guna, oprek 1 bulan lebih ndak mau kirim otp padahal sudah di cek berulang dan di isi dengan teliti",indak oprek indak kirim otp cek ulang isi teliti,negatif,negatif,negatif
3102,sangat praktis,praktis,positif,positif,positif
3103,Bagus aplikasinya sy sudah 6x berhasil perpanjang tanpa harus ke samsat,bagus aplikasi kali hasil panjang samsat,positif,positif,positif
3104,mantaaapppp,mantaaapppp,positif,positif,positif
3105,mantaaab prosesnya sangat cepat gk perlu ribet antri di sana,mantaaab proses cepat ribet antri,positif,positif,positif
3106,yesss jdi ga perlu ribet ke Samsat STNK dh dikirim yeeyy thank you,yesss ribet samsat stnk dah kirim yeeyy thank you,positif,positif,positif
3107,"membantu banget ga ribet dan cepat prosesnya, pengirimannya pun cepat",bantu banget ribet cepat proses kirim cepat,positif,positif,positif
3108,mau bayar pajak tahunan posisi telat satu hari tapi engga bisa lewat aplikasi dan di suruh ke kantor samsat.pengguna sangat di rugikan padahal mau taat bayar pajak tapi di persulit.,bayar pajak tahun posisi telat aplikasi suruh kantor samsatpengguna rugi taat bayar pajak sulit,negatif,negatif,negatif
3109,layanan mudah dan memuaskan,layan mudah muas,positif,positif,positif
3110,aplikasi tempe..ra jelas. rugi.. jadi ndak bisa pajak online di jateng gegara app ini. ternyata ndak sinkron datanya..,aplikasi tempera rugi indak pajak online jateng gegara app indak sinkron data,negatif,negatif,negatif
3111,"Akun lama yg udah register gabisa login karna belum link nomor tlp. Sekarang cuma bisa pake nomor tlp, register gabisa karna nik udah terdaftar, ga di kasih akses buat login pake email sama sekali, atau apa gitu, ya minimal helpdesk lah. Ini gamau ganti developer aja? logic nya kacau gini.",akun register login link nomor telepon pakai nomor telepon register nik daftar kasih akses login pakai email ya minimal helpdesk ganti developer logic ya kacau,negatif,negatif,negatif
3112,Signal teruji dan terpercaya Tingkatkan terus pelayanan dan perbaikan disemua lini untuk menjadi lebih baik lagi,signal uji percaya tingkat layan baik semua lini,positif,positif,positif
3113,Luar biasaa,nan,positif,positif,positif
3114,"mantap,mudah,pasti tanpa pungli 👍😊.. semoga nantinya pajak lima tahunan/ganti plat kaleng bisa lewat sini. Terimakasih sudah menghadirkan aplikasi ini.",mantapmudahpasti pungli moga pajak tahunanganti plat kaleng terimakasih hadir aplikasi,positif,positif,positif
3115,Sangat efesien,efesien,positif,positif,positif
3116,"urus pajak kendaraan tahunan lewat SIGNAL, aman nyaman cepat satset.",urus pajak kendara tahun signal aman nyaman cepat satset,positif,positif,positif
3117,ok.,ok,positif,positif,positif
3118,"Sudah muncul kode bayar, tapi diproses bayar via mybca, bni, tokped, gopay, shopee tidak bisa sama sekali. muncul tulisan gangguan sistem. MOHON SEGERA DIPERBAIKI !!",muncul kode bayar proses bayar via mybca bni tokped gopay shopee muncul tulis ganggu sistem mohon baik,negatif,negatif,negatif
3119,proses pembayaran cepat tnp antrian dan bisa langsung diambil di samsat..terimakasih,proses bayar cepat antri langsung ambil samsatterimakasih,positif,positif,positif
3120,gak bisa verifikasi . di suruh perbarui informasi di dukcapil coba daftar pake ektp ortu juga gak bisa masalahnnya sama zz gini amat mau bayar pajak aja di persulit,verifikasi suruh baru informasi dukcapil coba daftar pakai ektp masalahnnya zz bayar pajak sulit,negatif,negatif,negatif
3121,aplikasi ga jelas verifikasi wajah berkali kali gagal... udh ganti hape lain jg sama kali،👎👎👎👎👎👎👎👎👎,aplikasi verifikasi wajah kali kali gagal ganti hape kali,negatif,negatif,negatif
3122,"Alhamdulillah Berjalan Dengan Lancar Semoga terus melayani masyarakat dengan baik dan tekun, yakinlah layanan para bapak semuanya pasti yang maha kuasa beri pahala",alhamdulillah jalan lancar moga layan masyarakat tekun yakin layan maha kuasa pahala,positif,positif,positif
3123,"aplikasi yg sangat bermanfaat dan memudahkan warga membayar pajak kendaraannya. terima kasih, terus lebih baik",aplikasi manfaat mudah warga bayar pajak kendara terima kasih,positif,positif,positif
3124,cukup gampang ga ribret,gampang ribret,positif,positif,positif
3125,"kemajuan teknologi bangsa ini,,,keren ga perlu Dateng, cukup lakukan di aplikasi,,bangga banget",maju teknologi bangsa inikeren laku aplikasibangga banget,positif,positif,positif
3126,Prosesnya mudah dan sangat membantu sekali.....mantappp,proses mudah bantu sekalimantappp,positif,positif,positif
3127,"aplikasi ketularan E-KTP, harus verifikasi ke kantor dukcapil hrus yg bersangkutan, ngurus gituan bawa apa coba, ga tau.. mbuh.. dikira kantor nya ditengah kota gitu. kantor dukcapil malang itu dipinggir kota pojok, jauh, mana ada yg sempet, ntr kurang data pulang, belum juga antri... niat nya mau cek pajak, jadi males.",aplikasi tular ektp verifikasi kantor dukcapil sangkut urus begitu bawa coba tau embuh kantor ya tengah kota kantor dukcapil malang pinggir kota pojok entar data pulang antri niat ya cek pajak malas,negatif,negatif,negatif
3128,sy blm perna daftar sebelum nya kok data motor sy uda perna di daftar pd hal sy blm perna daftar tolong bantu hapus data sy,daftar ya data motor daftar daftar tolong bantu hapus data,negatif,negatif,negatif
3129,"sangat puas, pengiriman palembang - jakarta hanya 5 hari",puas kirim palembang jakarta,positif,positif,positif
3130,"cepat prosessnya, mantap",cepat prosessnya mantap,positif,positif,positif
3131,BIKIN SIMPEL,bikin simpel,positif,positif,positif
3132,"mudah, praktis dan efisien waktu buat para pekerjaan",mudah praktis efisien kerja,positif,positif,positif
3133,sangat membantu dan enak tampa harus ngantri k aabsat,bantu enak tampa antri aabsat,positif,positif,positif
3134,"sangat membantu buat yg ga sempat Dateng langsung ke Samsat. Cuma pengiriman aja yang agak lambat, kalo bisa di tambah pilihan kurir nya.",bantu langsung samsat kirim lambat pilih kurir ya,positif,positif,positif
3135,mantap saya kasih b 5 ya walapun cukup lama datangnya mungkin karna jauh pegirimannya Sama kenapa tidak pakai plastik amplop yg bening,mantap kasih b ya walapun datang pegirimannya pakai plastik amplop bening,positif,positif,positif
3136,"mudah bayar pajak, tidak perlu ke kantor SAMSAT, STNK dianter ke rumah",mudah bayar pajak kantor samsat stnk antar rumah,positif,positif,positif
3137,sangat membantu tanpa ribet waktu,bantu ribet,positif,positif,positif
3138,Alhamdulillah udh sampai pajak Jawa Tengah Brebes kirim STNK di Tangerang Banten,alhamdulillah pajak jawa brebes kirim stnk tangerang banten,positif,positif,positif
3139,alhamdulilah lancar pengantaran cepet dan amanah,alhamdulilah lancar antar cepat amanah,positif,positif,positif
3140,"memudahkan, sy tidak perlu lagi pakai biro jasa.",mudah pakai biro jasa,positif,positif,positif
3141,"sistemnya bagus, ga perlu antre di samsat tapi minusnya, kenapa harus ada biaya platform yaa? ini kan apk resmi polri mestinya ga ada biaya platform.",sistem bagus antre samsat minus biaya platform ya apk resmi polri mesti biaya platform,positif,positif,positif
3142,mantap dan terpercaya luar biasa,mantap percaya,positif,positif,positif
3143,"sangat membantu, yang harusnya pergi ke samsat, sekarang dirumah pun sambil tiduran bisa bayar pajak",bantu pergi samsat rumah tidur bayar pajak,positif,positif,positif
3144,"100% Real ini aplikasi sangat membantu sekali buat pembayaran pajak via online,sangat di rekomendasikan apabila kita mempunyai kesibukan sehingga tidak ada waktu buat datang ke SAMSAT dengan adanya aplikasi ini jadi bisa bayar tanpa harus datang ke SAMSAT.terbaik👍🏼😁👏🏼",real aplikasi bantu bayar pajak via onlinesangat rekomendasi sibuk samsat aplikasi bayar samsatterbaik,positif,positif,positif
3145,sangat membatu sekali,batu,positif,positif,positif
3146,"Mempermudah pembayaran pajak, kalau bisa yang 5 tahunan juga..",mudah bayar pajak tahun,positif,positif,positif
3147,app yg sangat membantu,app bantu,positif,positif,positif
3148,sangat membantu dengan adanya aplikasi signal byr pajak kendaraan bisa dri rumah gk perlu antri dan menghemat waktu.. terimakasih signal,bantu aplikasi signal byr pajak kendara rumah antri hemat terimakasih signal,positif,positif,positif
3149,"mantap. selesai dengan baik,praktis dan tidak ribet.",mantap selesai baikpraktis ribet,positif,positif,positif
3150,signal pelayanannya cepat dari daftar dan pengiriman hanya 2 minggu,signal layan cepat daftar kirim minggu,positif,positif,positif
3151,puasss banget selalu amanah... terimakasih signal sukses selaluuu... cmiwww,puasss banget amanah terimakasih signal sukses selaluuu cmiwww,positif,positif,positif
3152,stnk saya belum sampai,stnk,positif,negatif,negatif
3153,"proses bayar pajak gampang bagi yg tidak telat, klo telat ga bisa bayar pakai aplikasi ini",proses bayar pajak gampang telat telat bayar pakai aplikasi,positif,positif,positif
3154,ga ribet lagi bayar pajak...asal amanah penggunaannya.,ribet bayar pajakasal amanah guna,positif,positif,positif
3155,"Sering sulit diakses, keterangannya adalah silakan hubungi CS. Saat mau pembayaran menggunakan VA sudah 2 kali tidak terbaca VA-nya, sampai akhirnya berhasil. Perlu adanya perbaikan bug agar semakin lancar aplikasinya. Secara prosedur sudah sangat mudah, namun secara sistem sulit diakses.",sulit akses terang sila hubung cs bayar va kali baca vanya hasil baik bug lancar aplikasi prosedur mudah sistem sulit akses,positif,positif,positif
3156,"tingkatkan terus pelayanan sistem Online agar terus memberikan pelayanan yang prima, transparan, real-time",tingkat layan sistem online layan prima transparan realtime,positif,positif,positif
3157,sangat memuaskan.,muas,positif,positif,positif
3158,so far so good,sok far sok good,positif,positif,positif
3159,Sangat Dimengerti Untuk Pembayaran Menggunakan Aplikasi Dana,erti bayar aplikasi dana,positif,positif,positif
3160,"tolong lah perbaiki sistem ini aplikasi, banyak sekali masalahnya.. kendaraan belum didaftarkan diaplikasi tapi keterangnnya sudah didaftarkan sebelumnya. Ditambah lagi live agentnya nggk ada respon, alasan tidak ada ditempat, parah sih",tolong baik sistem aplikasi kendara daftar aplikasi keterangnnya daftar tambah live agentnya respon alas tempat parah sih,negatif,negatif,negatif
3161,"Alhamdulillah, bisa bayar online mudah dan cepat dari daerah lain karena sudah pindah rumah. Pengirimannya juga cepat. Terimakasih",alhamdulillah bayar online mudah cepat daerah pindah rumah kirim cepat terimakasih,positif,positif,positif
3162,susah login.katanya nomer tidak terdaftar giliran udah didaftar malah sudah terdaftar payah,susah loginkatanya nomer daftar gilir daftar daftar payah,positif,negatif,negatif
3163,aplikasi dobol gak bisa login,aplikasi dobol login,negatif,negatif,negatif
3164,"akhirnya ada program yang bener-bener bagus untuk masyarakat, bisa memudahkan dan menghemat waktu/ biaya, terimakasih Polri🙏🏼",program benerbener bagus masyarakat mudah hemat biaya terimakasih polri,positif,positif,positif
